vehicle_class,engine_size,cylinders,fuel_type,fuel_cons_city,fuel_cons_hwy,fuel_cons_comb,fuel_cons_comb_mpg,co2
PICKUP TRUCK - STANDARD,3.0,6,Diesel,11.3,8.5,10.0,28.0,270.0
MID-SIZE,3.6,6,Regular gasoline,12.4,7.6,10.2,28.0,241.0
SUV - STANDARD,3.6,6,Regular gasoline,16.1,10.8,13.7,21.0,323.0
SUV - SMALL,1.5,4,Regular gasoline,8.7,7.4,8.1,35.0,189.0
COMPACT,2.0,4,Premium gasoline,10.9,7.7,9.4,30.0,220.0
COMPACT,5.5,8,Premium gasoline,15.7,10.1,13.2,21.0,304.0
SUV - SMALL,3.6,6,Regular gasoline,13.9,9.6,12.0,24.0,276.0
SUV - SMALL,2.0,4,Premium gasoline,10.9,8.7,9.9,29.0,230.0
SUV - SMALL,2.5,4,Regular gasoline,9.1,7.1,8.2,34.0,192.0
SUBCOMPACT,1.6,4,Regular gasoline,8.6,6.7,7.8,36.0,182.0
COMPACT,3.5,6,Premium gasoline,12.3,8.5,10.6,27.0,246.0
COMPACT,1.8,4,Regular gasoline,9.4,6.7,8.2,34.0,192.0
SUBCOMPACT,5.0,8,Regular gasoline,15.5,9.4,12.7,22.0,298.0
MID-SIZE,3.0,6,Premium gasoline,11.8,8.6,10.4,27.0,245.0
SUV - STANDARD,5.3,8,Ethanol (E85),22.3,15.7,19.3,15.0,321.0
MID-SIZE,3.0,6,Premium gasoline,12.3,9.1,10.8,26.0,256.0
SUBCOMPACT,2.3,4,Regular gasoline,11.8,8.7,10.4,27.0,244.0
SUV - SMALL,2.0,4,Regular gasoline,9.7,7.8,8.8,32.0,206.0
PICKUP TRUCK - STANDARD,3.0,6,Diesel,11.2,8.3,9.9,29.0,266.0
COMPACT,2.0,4,Premium gasoline,9.9,6.7,8.5,33.0,196.0
SUV - STANDARD,3.5,6,Regular gasoline,16.1,12.4,14.4,20.0,339.0
SUV - SMALL,3.5,6,Premium gasoline,12.6,9.6,11.2,25.0,258.0
MID-SIZE,3.5,6,Regular gasoline,10.9,7.6,9.4,30.0,220.0
COMPACT,4.0,8,Premium gasoline,13.4,9.6,11.7,24.0,273.0
MID-SIZE,2.0,4,Premium gasoline,10.0,7.8,9.0,31.0,210.0
FULL-SIZE,2.0,4,Regular gasoline,11.4,7.5,9.6,29.0,221.0
PICKUP TRUCK - STANDARD,3.0,6,Diesel,11.1,8.3,9.8,29.0,264.0
VAN - PASSENGER,3.5,6,Ethanol (E85),22.1,16.8,19.8,14.0,328.0
STATION WAGON - SMALL,1.4,4,Regular gasoline,9.0,6.8,8.0,35.0,188.0
SUV - STANDARD,6.2,8,Premium gasoline,16.4,10.7,13.8,20.0,325.0
SUV - STANDARD,4.7,8,Premium gasoline,17.7,13.4,15.8,18.0,370.0
PICKUP TRUCK - STANDARD,4.6,8,Regular gasoline,16.9,12.8,15.1,19.0,347.0
SUV - STANDARD,3.6,6,Premium gasoline,14.1,10.4,12.4,23.0,292.0
PICKUP TRUCK - STANDARD,3.3,6,Ethanol (E85),16.7,12.6,14.9,19.0,247.0
PICKUP TRUCK - STANDARD,6.2,8,Premium gasoline,16.3,11.6,14.2,20.0,332.0
SUBCOMPACT,2.0,4,Premium gasoline,9.4,7.5,8.5,33.0,199.0
SUV - STANDARD,3.0,6,Premium gasoline,14.3,11.4,13.0,22.0,305.0
SUV - SMALL,2.0,4,Regular gasoline,12.0,9.2,10.7,26.0,255.0
PICKUP TRUCK - SMALL,2.5,4,Regular gasoline,13.6,10.7,12.3,23.0,290.0
TWO-SEATER,5.2,10,Premium gasoline,17.5,11.7,14.9,19.0,347.0
MINICOMPACT,2.0,4,Premium gasoline,9.6,6.6,8.2,34.0,193.0
SPECIAL PURPOSE VEHICLE,2.5,4,Regular gasoline,12.4,8.7,10.7,26.0,252.0
COMPACT,2.0,4,Premium gasoline,9.9,7.3,8.7,32.0,204.0
COMPACT,2.4,4,Premium gasoline,10.2,7.4,8.9,32.0,209.0
SUV - SMALL,2.5,4,Ethanol (E85),15.2,10.9,13.3,21.0,219.0
PICKUP TRUCK - STANDARD,5.3,8,Regular gasoline,15.3,11.2,13.5,21.0,316.0
SUV - SMALL,2.0,4,Premium gasoline,12.3,9.8,11.1,25.0,262.0
COMPACT,1.5,4,Regular gasoline,8.0,6.7,7.4,38.0,170.0
SUBCOMPACT,2.3,4,Regular gasoline,11.6,7.9,9.9,29.0,228.0
SUBCOMPACT,3.7,6,Premium gasoline,12.4,8.7,10.7,26.0,246.0
TWO-SEATER,3.1838391915767006,4,Ethanol (E85),16.660510583465577,15.416573936491107,7.235676908839116,21.537341128520247,112.49176776205294
STATION WAGON - SMALL,2.0,4,Premium gasoline,10.0,7.5,8.9,32.0,205.0
STATION WAGON - SMALL,7.075933398017699,15,Diesel,9.105543225456564,13.559226097451843,3.8515190189334056,60.53708647569991,287.4947690822597
SUV - SMALL,2.0,4,Regular gasoline,9.1,7.2,8.2,34.0,193.0
MINICOMPACT,3.8,6,Premium gasoline,12.7,9.0,11.0,26.0,253.0
PICKUP TRUCK - STANDARD,5.3,8,Regular gasoline,14.4,11.2,13.0,22.0,303.0
SUV - SMALL,2.0,4,Regular gasoline,12.3,9.3,11.0,26.0,257.0
MID-SIZE,6.2,8,Premium gasoline,17.6,10.7,14.5,19.0,339.0
MID-SIZE,2.0,4,Regular gasoline,9.1,6.9,8.1,35.0,190.0
MINICOMPACT,3.8,6,Premium gasoline,12.8,9.3,11.2,25.0,258.0
SUBCOMPACT,3.812488684399051,15,Regular gasoline,29.598627696638257,18.449520984851763,26.2606458559963,17.457833409132682,407.81127938715974
PICKUP TRUCK - STANDARD,6.2,8,Premium gasoline,15.9,11.2,13.8,20.0,323.0
SUV - STANDARD,3.5,6,Regular gasoline,15.9,12.0,14.2,20.0,333.0
COMPACT,3.0,6,Regular gasoline,13.2,9.5,11.5,25.0,264.0
SUBCOMPACT,2.0,4,Premium gasoline,10.4,6.8,8.8,32.0,207.0
MID-SIZE,2.0,4,Premium gasoline,10.6,7.2,9.0,31.0,212.0
COMPACT,2.0,4,Regular gasoline,9.3,,8.1,35.0,189.0
STATION WAGON - MID-SIZE,2.0,4,Premium gasoline,10.7,7.9,9.4,30.0,221.0
MID-SIZE,3.6,6,Regular gasoline,11.9,8.2,10.2,28.0,235.0
COMPACT,1.8,4,Regular gasoline,9.4,6.8,8.2,34.0,193.0
PICKUP TRUCK - STANDARD,5.7,8,Regular gasoline,17.6,12.7,15.4,18.0,354.0
MID-SIZE,2.0,4,Premium gasoline,10.6,7.8,9.3,30.0,220.0
MINICOMPACT,2.0,4,Premium gasoline,10.3,7.9,9.2,31.0,217.0
MID-SIZE,2.0,4,Premium gasoline,12.1,8.9,10.7,26.0,250.0
COMPACT,2.0,4,Ethanol (E85),12.1,8.6,10.5,27.0,175.0
SUBCOMPACT,5.2,8,Premium gasoline,19.9,12.7,16.7,17.0,392.0
SUV - SMALL,2.5,4,Regular gasoline,10.9,7.6,9.5,30.0,218.0
MID-SIZE,2.5,4,Regular gasoline,8.6,6.3,7.6,37.0,177.0
SUBCOMPACT,2.0,4,Premium gasoline,9.2,7.0,8.2,34.0,189.0
FULL-SIZE,6.7,12,Premium gasoline,20.7,12.9,17.2,16.0,404.0
STATION WAGON - SMALL,1.5,4,Regular gasoline,8.1,6.4,7.3,39.0,168.0
FULL-SIZE,,8,Premium gasoline,15.8,10.2,13.3,21.0,312.0
VAN - PASSENGER,4.8,8,Regular gasoline,21.3,14.3,18.2,16.0,419.0
MID-SIZE,1.8,4,Regular gasoline,4.6,4.9,4.7,60.0,108.0
SUBCOMPACT,3.5,6,Premium gasoline,12.1,8.6,10.5,27.0,242.0
SUV - SMALL,2.4,4,Regular gasoline,12.9,9.2,11.3,25.0,261.0
MID-SIZE,1.8,4,Regular gasoline,8.9,6.6,7.9,36.0,182.0
SUV - SMALL,2.5,4,Regular gasoline,9.9,7.8,9.0,31.0,207.0
COMPACT,3.0,6,Premium gasoline,12.4,8.7,10.7,26.0,235.0
COMPACT,6.7,12,Premium gasoline,20.9,12.7,17.2,16.0,403.0
STATION WAGON - SMALL,2.4,4,Regular gasoline,10.9,8.5,9.8,29.0,225.0
MID-SIZE,6.4,8,Premium gasoline,15.7,9.5,12.9,22.0,302.0
COMPACT,2.0,4,Premium gasoline,11.8,8.1,10.1,28.0,232.0
VAN - CARGO,4.3,6,Regular gasoline,17.1,12.7,15.1,19.0,347.0
SUV - SMALL,2.0,4,Premium gasoline,11.3,7.9,9.8,29.0,225.0
FULL-SIZE,3.0,6,Premium gasoline,15.0,10.3,12.8,22.0,301.0
SPECIAL PURPOSE VEHICLE,2.0,4,Regular gasoline,9.8,8.8,9.3,30.0,218.0
COMPACT,3.0,6,Premium gasoline,12.4,8.4,10.6,27.0,249.0
SUV - SMALL,1.0,3,Regular gasoline,8.6,8.1,8.4,34.0,195.0
MID-SIZE,2.0,4,Regular gasoline,10.0,7.5,8.9,32.0,208.0
SUV - SMALL,2.0,4,Regular gasoline,10.9,8.0,9.6,29.0,224.0
SUV - STANDARD,6.2,8,Premium gasoline,17.1,11.3,14.5,19.0,340.0
SUV - SMALL,2.4,4,Regular gasoline,11.7,9.1,10.5,27.0,248.0
SUV - SMALL,2.0,4,Regular gasoline,9.8,8.0,9.0,31.0,207.0
SUV - STANDARD,3.5,6,Regular gasoline,16.2,11.9,14.3,20.0,334.0
PICKUP TRUCK - SMALL,4.0,6,Regular gasoline,14.7,10.3,12.7,22.0,299.0
MID-SIZE,7.406667635046454,12,Premium gasoline,29.50694494977911,15.110032674336168,25.05903221305074,61.00231466738796,287.36488853115105
FULL-SIZE,6.0,12,Premium gasoline,18.5,11.8,15.5,18.0,361.0
COMPACT,2.0,4,Regular gasoline,10.1,7.2,8.8,32.0,207.0
PICKUP TRUCK - STANDARD,3.6,6,Regular gasoline,13.9,9.5,11.9,24.0,279.0
MINICOMPACT,3.8,6,Premium gasoline,12.9,9.2,11.2,25.0,258.0
MID-SIZE,2.0,4,Regular gasoline,10.5,7.1,9.0,31.0,207.0
COMPACT,1.8,4,Regular gasoline,9.3,7.0,8.3,34.0,193.0
MINICOMPACT,6.0,12,Premium gasoline,17.5,11.4,14.7,19.0,345.0
PICKUP TRUCK - STANDARD,5.7,8,Regular gasoline,17.1,12.0,14.8,19.0,340.0
COMPACT,1.5,4,Premium gasoline,8.9,6.4,7.8,36.0,183.0
SUBCOMPACT,4.4,8,Premium gasoline,16.1,10.8,13.7,21.0,315.0
MID-SIZE,2.0,4,Regular gasoline,5.7,6.2,5.9,48.0,139.0
PICKUP TRUCK - STANDARD,5.0,8,Regular gasoline,15.1,11.0,13.3,21.0,312.0
SUV - STANDARD,3.5,6,Regular gasoline,14.7,10.2,12.7,22.0,298.0
SUV - STANDARD,2.5,4,Regular gasoline,6.6,6.8,6.7,42.0,156.0
SUV - SMALL,2.4,4,Regular gasoline,9.5,7.5,8.6,33.0,202.0
SUBCOMPACT,5.0,8,Premium gasoline,15.2,9.5,12.6,22.0,290.0
FULL-SIZE,3.5,6,Regular gasoline,14.0,9.9,12.4,23.0,291.0
SUV - STANDARD,5.5,8,Premium gasoline,20.0,16.6,18.5,15.0,426.0
TWO-SEATER,3.7,6,Premium gasoline,13.3,9.3,11.5,25.0,264.0
MID-SIZE,1.5,4,Regular gasoline,8.7,6.3,7.6,37.0,179.0
SUV - SMALL,2.5,4,Regular gasoline,10.3,8.0,9.2,31.0,217.0
SUV - SMALL,3.6,6,Premium gasoline,14.1,10.1,12.3,23.0,286.0
PICKUP TRUCK - STANDARD,3.3,6,Ethanol (E85),17.5,13.7,15.8,18.0,263.0
MID-SIZE,3.6,6,Premium gasoline,15.0,9.9,12.7,22.0,311.0
MID-SIZE,2.0,4,Regular gasoline,9.2,6.5,8.0,35.0,188.0
TWO-SEATER,6.5,12,Premium gasoline,22.2,12.7,17.9,16.0,428.0
SUBCOMPACT,4.0,8,Premium gasoline,14.0,10.4,12.4,23.0,291.0
STATION WAGON - SMALL,1.8,4,Regular gasoline,9.5,6.6,8.2,34.0,192.0
MID-SIZE,3.6,6,Regular gasoline,12.4,7.8,10.3,27.0,237.0
MID-SIZE,2.9,6,Premium gasoline,13.8,9.6,11.9,24.0,280.0
MINICOMPACT,3.4,6,Premium gasoline,11.8,8.5,10.3,27.0,237.0
SUV - STANDARD,3.0,6,Premium gasoline,14.0,10.5,12.4,23.0,285.0
COMPACT,2.0,4,Regular gasoline,9.1,7.1,8.2,34.0,193.0
COMPACT,2.0,4,Premium gasoline,12.0,8.2,10.3,27.0,242.0
SUBCOMPACT,2.0,4,Premium gasoline,10.5,7.4,9.1,31.0,213.0
PICKUP TRUCK - STANDARD,5.3,8,Regular gasoline,14.3,10.4,12.5,23.0,294.0
MID-SIZE,2.0,4,Premium gasoline,10.1,7.4,8.8,32.0,206.0
COMPACT,2.0,4,Premium gasoline,10.2,7.0,8.8,32.0,202.0
COMPACT,4.0,8,Premium gasoline,13.4,9.6,11.7,24.0,274.0
SUBCOMPACT,2.3,4,Regular gasoline,11.8,8.4,10.3,27.0,241.0
MID-SIZE,1.5,3,Premium gasoline,9.5,6.6,8.2,34.0,194.0
SUV - SMALL,2.4,4,Regular gasoline,10.8,8.0,9.6,29.0,225.0
MID-SIZE,1.5,4,Premium gasoline,8.9,6.4,7.8,36.0,183.0
SUV - SMALL,2.7,4,Regular gasoline,11.6,8.5,10.2,28.0,235.0
MID-SIZE,5.0,8,Premium gasoline,15.7,10.3,13.2,21.0,304.0
COMPACT,4.4,8,Premium gasoline,14.4,9.6,12.3,23.0,288.0
STATION WAGON - MID-SIZE,6.981675004751136,2,Ethanol (E85),6.823280599394011,8.278231847856276,11.813975113567242,48.755034479896075,339.2931143982943
SUV - SMALL,2.0,4,Premium gasoline,11.0,8.7,10.0,28.0,234.0
SUV - STANDARD,4.8,8,Premium gasoline,16.7,11.2,14.2,20.0,334.0
MID-SIZE,2.0,4,Diesel,7.8,5.8,6.9,41.0,186.0
TWO-SEATER,2.0,4,Premium gasoline,9.6,7.4,8.6,33.0,202.0
SUV - STANDARD,2.0,4,Premium gasoline,10.8,9.5,10.2,28.0,239.0
FULL-SIZE,5.7,8,Regular gasoline,14.7,9.4,12.3,23.0,289.0
FULL-SIZE,6.4,8,Premium gasoline,15.7,9.5,12.9,22.0,302.0
SUV - STANDARD,4.8,8,Premium gasoline,16.7,11.2,14.2,20.0,327.0
MINICOMPACT,3.8,6,Premium gasoline,12.7,9.9,11.4,25.0,267.0
COMPACT,2.0,4,Regular gasoline,9.1,6.3,7.8,36.0,179.0
FULL-SIZE,2.4,4,Regular gasoline,9.8,7.0,8.5,33.0,196.0
FULL-SIZE,3.6,6,Regular gasoline,12.9,8.7,11.0,26.0,259.0
SUV - SMALL,3.5,6,Regular gasoline,12.5,9.0,10.9,26.0,251.0
MID-SIZE,2.5,4,Regular gasoline,8.7,6.3,7.6,37.0,179.0
COMPACT,1.2,3,Regular gasoline,7.0,5.5,6.4,44.0,147.0
SUBCOMPACT,2.0,4,Premium gasoline,10.8,6.7,8.9,32.0,211.0
PICKUP TRUCK - STANDARD,5.7,8,Regular gasoline,17.0,12.0,14.8,19.0,346.0
COMPACT,5.5,8,Premium gasoline,15.3,10.2,13.0,22.0,313.0
SUV - SMALL,2.0,4,Diesel,8.6,6.9,7.9,36.0,213.0
MINICOMPACT,3.4,6,Premium gasoline,11.5,8.4,10.1,28.0,236.0
SUBCOMPACT,3.5,6,Premium gasoline,12.6,9.1,11.0,26.0,253.0
TWO-SEATER,4.7,8,Premium gasoline,13.6,9.5,11.7,24.0,275.0
FULL-SIZE,3.0,6,Premium gasoline,12.5,8.6,10.7,26.0,246.0
SUV - SMALL,2.4,4,Regular gasoline,11.5,9.3,10.5,27.0,246.0
SUV - STANDARD,5.0,8,Premium gasoline,17.9,12.7,15.5,18.0,365.0
PICKUP TRUCK - STANDARD,5.0,8,Regular gasoline,15.1,11.6,13.5,21.0,317.0
MINICOMPACT,3.0,6,Premium gasoline,12.8,8.9,11.0,26.0,257.0
FULL-SIZE,1.5,4,Regular gasoline,7.9,6.3,7.2,39.0,170.0
COMPACT,1.2,3,Regular gasoline,6.4,5.5,6.0,47.0,141.0
STATION WAGON - SMALL,3.7,6,Premium gasoline,13.6,9.6,11.8,24.0,271.0
FULL-SIZE,2.0,4,Regular gasoline,5.6,6.4,6.0,47.0,138.0
SUV - STANDARD,3.5,6,Ethanol (E85),19.7,14.1,17.2,16.0,282.0
MID-SIZE,4.7,8,Premium gasoline,13.6,9.1,11.6,24.0,267.0
SUV - SMALL,2.7,4,Regular gasoline,11.6,9.0,10.4,27.0,239.0
SUV - STANDARD,3.5,6,Regular gasoline,15.0,11.5,13.4,21.0,315.0
MID-SIZE,1.8,4,Regular gasoline,9.7,6.6,8.3,34.0,191.0
TWO-SEATER,2.5,4,Premium gasoline,11.1,8.4,9.9,29.0,231.0
MINICOMPACT,1.4,4,Regular gasoline,8.0,6.5,7.3,39.0,171.0
SUBCOMPACT,2.0,4,Premium gasoline,10.9,8.0,9.6,29.0,221.0
TWO-SEATER,5.2,10,Premium gasoline,18.0,12.8,15.7,18.0,361.0
STATION WAGON - SMALL,1.6,4,Premium gasoline,8.5,7.5,8.0,35.0,189.0
STATION WAGON - SMALL,3.6,6,Regular gasoline,13.3,8.9,11.3,25.0,260.0
TWO-SEATER,8.436264791007254,5,Diesel,3.461196265912282,4.887370697308198,19.02404245859334,10.30369503077312,163.8258460066894
SUV - SMALL,2.0,4,Premium gasoline,11.8,8.6,10.3,27.0,240.0
SUBCOMPACT,1.5,3,Premium gasoline,8.2,5.9,7.2,39.0,166.0
SUV - SMALL,2.7,6,Regular gasoline,12.5,9.2,11.0,26.0,258.0
PICKUP TRUCK - SMALL,3.5,6,Regular gasoline,13.6,11.2,12.5,23.0,292.0
SUBCOMPACT,1.5,3,Premium gasoline,8.4,6.0,7.3,39.0,172.0
TWO-SEATER,3.0,6,Premium gasoline,13.0,9.2,11.3,25.0,265.0
SUV - STANDARD,3.5,6,Regular gasoline,14.6,10.4,12.8,22.0,294.0
MID-SIZE,3.0,6,Premium gasoline,12.6,8.6,10.8,26.0,253.0
PICKUP TRUCK - STANDARD,6.2,8,Premium gasoline,16.0,11.7,14.1,20.0,331.0
FULL-SIZE,3.6,6,Ethanol (E85),17.0,11.5,14.5,19.0,239.0
SUV - STANDARD,3.5,6,Regular gasoline,14.9,11.2,13.2,21.0,311.0
SUV - SMALL,2.5,4,Regular gasoline,9.8,7.9,8.9,32.0,205.0
SUV - SMALL,2.4,4,Regular gasoline,11.7,10.3,11.1,25.0,255.0
FULL-SIZE,2.4,4,Regular gasoline,9.4,6.5,8.1,35.0,191.0
SUBCOMPACT,3.0,6,Premium gasoline,11.8,7.6,9.9,29.0,228.0
VAN - CARGO,2.079250084197022,13,Ethanol (E85),13.433800703829618,7.835067449089286,13.977780323891944,11.938957066579029,214.73878106830875
SUV - STANDARD,5.7,8,Premium gasoline,18.2,13.0,15.8,18.0,372.0
SUV - STANDARD,5.7,8,Premium gasoline,18.8,13.6,16.5,17.0,380.0
TWO-SEATER,4.0,8,Premium gasoline,14.5,10.8,12.8,22.0,302.0
MID-SIZE,2.4,4,Regular gasoline,10.2,6.4,8.5,33.0,198.0
PICKUP TRUCK - SMALL,2.8,4,Diesel,13.3,10.6,12.1,23.0,326.0
MID-SIZE,2.5,4,Regular gasoline,10.5,6.9,8.9,32.0,209.0
FULL-SIZE,2.0,4,Regular gasoline,8.0,6.0,7.1,40.0,169.0
MID-SIZE,2.5,4,Regular gasoline,5.8,6.3,6.0,47.0,141.0
TWO-SEATER,4.7,8,Premium gasoline,17.4,11.3,14.7,19.0,343.0
SUBCOMPACT,3.0,6,Premium gasoline,11.8,8.4,10.2,28.0,239.0
COMPACT,1.6,4,Premium gasoline,10.0,7.8,9.0,31.0,207.0
MID-SIZE,1.8,4,Regular gasoline,10.0,6.9,8.6,33.0,198.0
SUBCOMPACT,3.0,6,Premium gasoline,12.3,9.0,10.8,26.0,248.0
TWO-SEATER,3.0,6,Premium gasoline,12.1,8.5,10.5,27.0,246.0
SUV - SMALL,1.5,4,Regular gasoline,9.6,8.3,9.0,31.0,210.0
SUBCOMPACT,3.0,6,Premium gasoline,11.9,8.6,10.4,27.0,245.0
SUV - SMALL,2.0,4,Premium gasoline,9.8,7.4,8.7,32.0,203.0
SUV - SMALL,1.3,4,Regular gasoline,10.8,8.7,9.9,29.0,230.0
VAN - PASSENGER,3.7,6,Ethanol (E85),23.1,18.6,21.0,13.0,345.0
MINICOMPACT,3.8,6,Premium gasoline,12.6,9.9,11.4,25.0,267.0
FULL-SIZE,3.6,6,Regular gasoline,14.0,9.1,11.8,24.0,271.0
SUV - SMALL,2.0,4,Regular gasoline,10.3,8.0,9.3,30.0,214.0
COMPACT,3.0,6,Premium gasoline,13.5,9.9,11.9,24.0,280.0
SUV - STANDARD,3.8,8,Premium gasoline,17.9,12.9,15.3,18.0,360.0
MID-SIZE,6.2,8,Premium gasoline,18.1,11.4,15.1,19.0,347.0
SUBCOMPACT,3.0,6,Premium gasoline,12.3,8.6,10.7,26.0,251.0
STATION WAGON - MID-SIZE,3.5,6,Regular gasoline,11.2,8.3,9.9,29.0,232.0
FULL-SIZE,3.0,6,Premium gasoline,13.7,8.9,11.5,25.0,264.0
VAN - PASSENGER,5.4,8,Regular gasoline,20.6,15.5,18.3,15.0,421.0
TWO-SEATER,4.0,8,Premium gasoline,17.6,10.1,14.2,20.0,327.0
SUV - SMALL,1.5,4,Regular gasoline,9.2,7.3,8.3,34.0,195.0
FULL-SIZE,6.4,8,Premium gasoline,15.8,9.6,13.0,22.0,305.0
STATION WAGON - SMALL,1.8,4,Regular gasoline,8.3,6.9,7.7,37.0,180.0
MID-SIZE,1.8,4,Regular gasoline,8.4,6.5,7.5,38.0,176.0
FULL-SIZE,6.0,12,Premium gasoline,17.5,10.8,14.5,19.0,350.0
MID-SIZE,1.8,4,Regular gasoline,8.9,6.6,7.9,36.0,184.0
PICKUP TRUCK - STANDARD,3.6,6,Regular gasoline,11.6,9.0,10.4,27.0,246.0
PICKUP TRUCK - STANDARD,5.3,8,Regular gasoline,15.9,11.8,14.1,20.0,331.0
COMPACT,2.0,4,Ethanol (E85),11.9,8.9,10.6,27.0,170.0
COMPACT,3.0,6,Premium gasoline,11.9,7.8,10.0,28.0,230.0
MINICOMPACT,3.8,6,Premium gasoline,12.8,9.3,11.2,25.0,260.0
SUV - SMALL,2.0,4,Regular gasoline,10.7,9.8,10.3,27.0,241.0
COMPACT,3.0,6,Premium gasoline,13.7,9.1,11.7,24.0,273.0
SUV - SMALL,2.0,4,Premium gasoline,11.8,9.1,10.6,27.0,248.0
SUV - SMALL,2.0,4,Premium gasoline,11.1,8.4,9.9,29.0,231.0
SUV - SMALL,2.0,4,Premium gasoline,11.1,8.4,9.9,29.0,228.0
SUV - SMALL,1.0,3,Regular gasoline,8.6,,8.4,34.0,196.0
MID-SIZE,3.6,6,Regular gasoline,11.8,8.0,10.1,28.0,237.0
SUV - STANDARD,5.7,8,Regular gasoline,18.4,13.8,16.4,17.0,384.0
SUV - SMALL,2.0,4,Regular gasoline,10.8,9.2,10.1,28.0,239.0
SUV - STANDARD,3.0,6,Premium gasoline,13.0,8.9,11.1,25.0,255.0
SUV - SMALL,3.6,6,Regular gasoline,12.6,10.7,11.8,24.0,276.0
VAN - PASSENGER,3.5,6,Regular gasoline,16.7,12.8,15.0,19.0,352.0
COMPACT,2.5,4,Regular gasoline,9.3,6.9,8.2,34.0,194.0
SUBCOMPACT,2.3,4,Regular gasoline,10.6,7.5,9.2,31.0,212.0
SUV - SMALL,3.0,6,Premium gasoline,12.7,8.8,10.9,26.0,251.0
SUBCOMPACT,4.4,8,Premium gasoline,17.3,11.6,14.7,19.0,344.0
TWO-SEATER,3.7,6,Premium gasoline,13.0,9.7,11.5,25.0,270.0
STATION WAGON - SMALL,2.0,4,Premium gasoline,11.3,8.2,9.9,29.0,231.0
SUV - STANDARD,5.7,8,Regular gasoline,18.5,13.9,16.4,17.0,385.0
SPECIAL PURPOSE VEHICLE,3.7,6,Regular gasoline,14.7,10.3,12.7,22.0,297.0
PICKUP TRUCK - STANDARD,5.3,8,Regular gasoline,16.5,13.0,14.9,19.0,350.0
SUBCOMPACT,6.0,12,Premium gasoline,19.2,12.2,16.0,18.0,373.0
STATION WAGON - SMALL,2.0,4,Regular gasoline,8.4,6.5,7.5,38.0,176.0
SUV - SMALL,2.0,4,Premium gasoline,10.9,8.7,9.9,29.0,232.0
TWO-SEATER,3.4,6,Premium gasoline,10.9,7.7,9.5,30.0,218.0
COMPACT,2.0,4,Regular gasoline,9.6,6.9,8.4,34.0,193.0
MID-SIZE,1.4,4,Regular gasoline,8.5,5.8,7.3,39.0,168.0
MINICOMPACT,1.4,4,Regular gasoline,8.7,7.1,8.0,35.0,186.0
SUV - SMALL,2.0,4,Premium gasoline,11.7,9.2,10.6,27.0,248.0
PICKUP TRUCK - STANDARD,4.3,6,Ethanol (E85),19.3,14.3,17.1,17.0,284.0
SUBCOMPACT,6.0,12,Premium gasoline,19.6,11.7,16.0,18.0,368.0
MINICOMPACT,5.766074341463307,11,Diesel,3.4006830682399745,3.428961105770333,15.69459184620134,33.991658302915326,114.9729038554274
MID-SIZE,1.5,3,Premium gasoline,10.3,7.9,9.2,31.0,215.0
MID-SIZE,1.8,4,Regular gasoline,8.3,6.3,7.4,38.0,173.0
SUBCOMPACT,4.7,8,Premium gasoline,18.2,11.4,15.1,19.0,357.0
PICKUP TRUCK - STANDARD,3.5,6,Regular gasoline,13.8,11.2,12.6,22.0,296.0
FULL-SIZE,6.4,8,Premium gasoline,16.7,10.3,13.8,20.0,317.0
MID-SIZE,3.5,6,Premium gasoline,11.9,7.7,10.0,28.0,235.0
PICKUP TRUCK - SMALL,2.5,4,Regular gasoline,12.2,9.1,10.8,26.0,253.0
PICKUP TRUCK - STANDARD,5.7,8,Regular gasoline,18.5,14.2,16.6,17.0,382.0
SUV - SMALL,2.5,4,Regular gasoline,6.9,7.8,7.3,39.0,171.0
TWO-SEATER,2.0,4,Premium gasoline,10.4,7.7,9.2,31.0,212.0
TWO-SEATER,2.5,4,Premium gasoline,11.0,8.4,9.9,29.0,230.0
MINIVAN,3.6,6,Regular gasoline,13.7,9.4,11.8,24.0,271.0
PICKUP TRUCK - SMALL,4.0,6,Regular gasoline,15.7,11.2,13.7,21.0,315.0
SPECIAL PURPOSE VEHICLE,2.0,4,Premium gasoline,11.5,9.8,10.7,26.0,251.0
PICKUP TRUCK - STANDARD,3.5,6,Ethanol (E85),17.9,13.0,15.7,18.0,261.0
SUBCOMPACT,2.3,4,Regular gasoline,11.9,8.4,10.4,27.0,243.0
MID-SIZE,2.0,4,Regular gasoline,5.4,5.8,5.5,51.0,126.0
SUV - STANDARD,2.0,4,Premium gasoline,12.2,8.7,10.7,26.0,248.0
SUV - STANDARD,3.5,6,Regular gasoline,15.7,11.2,13.7,21.0,322.0
SUV - SMALL,2.0,4,Regular gasoline,10.7,8.0,9.5,30.0,221.0
PICKUP TRUCK - STANDARD,6.2,8,Premium gasoline,16.0,11.7,14.1,20.0,330.0
SUBCOMPACT,3.0,6,Premium gasoline,11.4,7.8,9.8,29.0,228.0
COMPACT,1.4,4,Regular gasoline,9.5,7.1,8.4,34.0,195.0
SUV - SMALL,3.6,6,Regular gasoline,14.9,10.1,12.8,22.0,300.0
MID-SIZE,2.5,4,Regular gasoline,10.7,,9.4,30.0,220.0
PICKUP TRUCK - SMALL,4.0,6,Regular gasoline,15.7,11.3,13.7,21.0,322.0
COMPACT,2.0,4,Regular gasoline,9.7,7.0,8.5,33.0,198.0
